name,brand,month,qty,price_unit,total_sales
CORREGIDORA 4 (QRO),SAM,January,72,3290.1123689048527,232689.71005105
CORREGIDORA 4 (QRO),SAM,September,53,4385.933021427547,232454.45013566
ALLENDE (QRO),MOTO,October,53,4379.099658464528,232092.28189862
PARQUE (QRO),SAM,April,57,4050.861578947369,230899.11000000002
PLAZA PATIO (QRO),SAM,July,45,5126.120873452444,230675.43930536
PARQUE (QRO),SAM,July,55,4182.506351072,230037.84930896
GUERRERO (QRO),SAM,August,51,4492.040743713922,229094.07792941
LEON CENTRO (LEON),MOTO,August,51,4486.969727519216,228835.45610348
MADERO (LEON),SAM,December,77,2965.3066323323374,228328.61068959
ALAMEDA (QRO),HONOR,November,54,4214.175458110186,227565.47473795002
CORREGIDORA 2 (QRO),HONOR,November,52,4342.641107428078,225817.33758626002
PARQUE (QRO),SAM,May,53,4254.179673389434,225471.52268964
CORREGIDORA 2 (QRO),HONOR,December,56,3983.1288916251788,223055.21793101
ALAMEDA (QRO),HONOR,December,53,4174.496413858114,221248.30993448
CORREGIDORA 2 (QRO),MOTO,April,51,4331.8972539999995,219007.7927
LEON CENTRO (LEON),MOTO,September,50,4368.4603634486,218423.01817243
LEON CENTRO (LEON),MOTO,February,71,3074.6730393884504,218301.78579658
CORREGIDORA 2 (QRO),XIAOMI,December,73,3006.8018534481944,218126.80344827
VIA ALTA SUR (LEON),SAM,August,40,5423.709396525001,216948.375861
ALLENDE (QRO),XIAOMI,October,66,3286.8083937300003,216929.35398618
CORREGIDORA 2 (QRO),MOTO,June,52,4167.589912466538,216714.67544826
CORREGIDORA 4 (QRO),SAM,December,59,3669.472547145517,215345.78704478
HIDALGO (CELAYA),MOTO,December,55,3890.9907859970913,214004.49322984
CORREGIDORA 3 (QRO),SAM,June,50,4278.448924136,213922.4462068
HIDALGO (CELAYA),SAM,April,52,4107.245187400577,213576.74974483
PLAZA PATIO (QRO),SAM,May,49,4309.48225193449,211164.63034479
MADERO (LEON),SAM,October,60,3516.3832758525,210982.99655115
LEON CENTRO (LEON),MOTO,November,56,3735.0055295558927,209160.30965513
LEON CENTRO (LEON),MOTO,May,44,4701.332676097046,206858.63774827
HIDALGO (CELAYA),MOTO,May,45,4583.430194482889,206254.35875173
ALAMEDA (QRO),SAM,July,44,4648.434372939319,204531.11240933
CORREGIDORA 3 (QRO),SAM,September,53,3858.932882229811,204523.44275818
CORREGIDORA 2 (QRO),MOTO,May,52,3931.499011936346,204437.94862069
PLAZA PATIO (QRO),MOTO,May,46,4531.661578683409,204218.97146207
CORREGIDORA 2 (QRO),MOTO,September,46,4405.849179985435,202669.06227932998
ALLENDE (QRO),MOTO,June,42,4816.0321293876195,202273.34943428
HIDALGO (CELAYA),MOTO,February,57,3580.1118813101784,202209.54535337
CORREGIDORA 3 (QRO),SAM,August,49,4126.514827573469,202199.2265511
ALLENDE (QRO),MOTO,April,47,4289.3070793100005,201597.43272757
CORREGIDORA 2 (QRO),MOTO,August,45,4468.568124137778,201085.5655862
CORREGIDORA 2 (QRO),MOTO,February,66,3082.97665572,200949.08931036
ALAMEDA (QRO),SAM,August,38,5246.916714978947,199382.8351692
MADERO (LEON),SAM,August,56,3549.0321613125,198745.8010335
PLAZA PATIO (QRO),MOTO,December,59,3364.798374635424,198523.10410349
PARQUE (QRO),SAM,August,46,4314.147405135652,198450.78063624
ALAMEDA (QRO),SAM,April,36,5486.445029591667,197512.0210653
GUERRERO (QRO),MOTO,December,54,3655.748332375741,197410.40994829
ALAMEDA (QRO),SAM,January,60,3280.1880229885,196811.28137931
HIDALGO (CELAYA),MOTO,November,47,4141.432946588085,194647.34848964
PARQUE (QRO),SAM,January,43,4524.685655172326,194561.48317241
MADERO (LEON),SAM,November,56,3474.0489839449997,194546.74310092
CORREGIDORA 4 (QRO),MOTO,January,64,3054.6947728517457,194255.25068966
ALAMEDA (QRO),HONOR,September,42,4623.56517061119,194189.73716567
GUERRERO (QRO),SAM,June,41,4730.005154306097,193930.21132655
CORREGIDORA 4 (QRO),SAM,October,42,4615.315991785952,193843.27165501
MADERO (LEON),SAM,September,55,3471.9626582945452,190957.9462062
LA VICTORIA (QRO),SAM,June,34,5612.779975646176,190834.51917197
FIESTA (IRAPUATO),SAM,January,58,3273.068638525345,189837.98103447
PLAZA PATIO (QRO),SAM,April,42,4506.526756978572,189274.1237931
PLAZA PATIO (QRO),XIAOMI,January,67,2837.689556321818,188924.58071724
HIDALGO (CELAYA),MOTO,June,34,5522.465825152353,187763.83805518
CORREGIDORA 4 (QRO),HONOR,December,47,3949.982052824681,185649.15648276
GUERRERO (QRO),SAM,November,49,3770.077070443265,184733.77645171998
PLAZA PATIO (QRO),HONOR,January,52,3550.198892572692,184610.34241378
ALAMEDA (QRO),SAM,June,39,4700.730141448462,183328.47551649
ALAMEDA (QRO),HONOR,January,45,4018.2954788513334,180823.29654831
GUERRERO (QRO),MOTO,February,61,2983.3361570116667,180723.4494207
ALAMEDA (QRO),MOTO,December,51,3532.015828247451,180132.80724062
CORREGIDORA 4 (QRO),MOTO,July,37,4839.772970829459,179071.59992069
MADERO (LEON),SAM,July,50,3578.4504620504,178922.52310252
PARQUE (QRO),HONOR,January,49,3641.932540464489,178454.69448275998
FIESTA (IRAPUATO),SAM,August,43,4131.81280673186,177667.95068947
HIDALGO (CELAYA),MOTO,September,36,4894.253689728055,176193.13283021
OBREGON (LEON),SAM,December,53,3318.429253871132,175876.75045517
ALLENDE (CELAYA),SAM,December,46,3806.111613642826,175081.13422757
PARQUE (QRO),HONOR,December,45,3884.405080459111,174798.22862066
CORREGIDORA 2 (QRO),MOTO,October,42,4142.430365188809,173982.07533793
CORREGIDORA 2 (QRO),HONOR,January,43,4040.838524458605,173756.05655172002
FIESTA (IRAPUATO),SAM,December,58,2999.744615849298,173501.82310341
GUERRERO (QRO),MOTO,September,42,4125.782157389285,173282.85061035
CORREGIDORA 3 (QRO),SAM,April,43,4001.7426949339538,172074.93588216
HIDALGO 2 (CELAYA),SAM,December,44,3878.8412423977275,170669.0146655
FIESTA (IRAPUATO),SAM,July,47,3616.1609537493614,169959.56482621998
HIDALGO (CELAYA),MOTO,April,39,4355.902395048717,169880.19340689998
