id,date,Product_ID,Description,qty,create_uid,price_unit,price_subtotal
83233,2022-09-27 00:26:20,19474,BLU TANK-MEGA X/X NEGRO/VERDE,-1.0,SUC. ALAMEDA (QRO),602.5862069,-602.59
83242,2022-09-27 00:26:57,19474,BLU TANK-MEGA X/X NEGRO/VERDE,1.0,SUC. ALAMEDA (QRO),602.5862069,602.59
83247,2022-09-27 00:38:17,25606,NOKIA 110 4MB/4MB NEGRO,1.0,SUC. PARQUE (CELAYA),395.69,395.69
83277,2022-09-27 01:19:57,29411,20.0% de descuento en productos,1.0,SUC. MADERO (QRO),-42.932,-42.93
83278,2022-09-27 01:22:27,24933,MANOS LIBRES FLAT NEGRO IPHONE,1.0,SUC. PLAZA PATIO (QRO),171.55,171.55
83292,2022-09-27 15:07:00,19473,BLU TANK-MEGA X/X NEGRO/NARANJA,1.0,SUC. PARQUE (QRO),602.5862069,602.59
83293,2022-09-27 15:09:32,29578,SAM A03-CORE 2/32 BRONCE,1.0,SUC. HIDALGO (CELAYA),2240.52,2240.52
83299,2022-09-27 15:14:23,29493,XIAOMI REDMI-10C 3/64 GRIS,1.0,SUC. HIDALGO (CELAYA),3016.37931034,3016.38
83323,2022-09-27 16:10:07,29411,20.0% de descuento en productos,1.0,SUC. GUERRERO (QRO),-92.758,-92.76
83324,2022-09-27 16:13:21,19408,BATERIA T2GO 2000 mAh V/COLORES,1.0,SUC. ALAMEDA (QRO),93.96551724,93.97
83327,2022-09-27 16:28:16,26053,ZTE L8 1/32 NEGRO,1.0,SUC. FIESTA (IRAPUATO),1033.62,1033.62
83332,2022-09-27 16:35:42,29411,20.0% de descuento en productos,1.0,SUC. FIESTA (IRAPUATO),-10.172,-10.17
83334,2022-09-27 16:41:18,29579,SAM A03-CORE 2/32 ONYX,1.0,SUC. CORREGIDORA 4 (QRO),2240.52,2240.52
83336,2022-09-27 16:54:35,26669,HISENSE U30 1/32 GRIS,1.0,SUC. OBREGON (LEON),1507.75862069,1507.76
83337,2022-09-27 16:54:35,24889,8A19LEDMV200TCRGBW LAMPARA LED A19 RGB 8W 100-127V 3000K,1.0,SUC. OBREGON (LEON),214.65517241,214.66
83338,2022-09-27 16:56:07,25683,"GAR094 POWER BANK 10,000 mAh 1HORA GAR094 NEGRO",1.0,SUC. OBREGON (LEON),257.75862069,257.76
83344,2022-09-27 17:28:43,25999,XIAOMI REDMI-9A 2/32 AZUL,1.0,SUC. PLAZA MAYOR (LEON),2240.52,2240.52
83347,2022-09-27 17:42:36,27301,BLU ZOEY-FLEX132 X/X DORADO,1.0,SUC. MADERO (QRO),473.27586207,473.28
83353,2022-09-27 18:03:57,27302,BLU ZOEY-FLEX132 X/X NEGRO,1.0,SUC. ALLENDE (QRO),473.27586207,473.28
