id,Product_ID,Description,qty,create_uid,price_unit,price_subtotal
48732,19476,BLU Z4 X/X NEGRO/ROJO,1.0,SUC. HIDALGO (CELAYA),257.75862069,257.76
48737,29411,20.0% de descuento en productos,1.0,SUC. PLAZA MAYOR (LEON),-51.552,-51.55
48745,29411,20.0% de descuento en productos,1.0,SUC. MADERO (QRO),-34.31,-34.31
48751,25539,MOTO E6I 2/32 GRIS,1.0,SUC. CORREGIDORA 4 (QRO),2412.931,2412.93
48752,25743,SAM A03S 4/64 ROJO,1.0,SUC. ALLENDE (QRO),3447.4137931,3447.41
48753,25740,SAM A03-CORE 2/32 NGO,1.0,SUC. ALLENDE (QRO),2154.31034483,2154.31
48756,25739,SAM A03-CORE 2/32 AZUL,1.0,SUC. LA CRUZ (QRO),2154.31034483,2154.31
48758,29410,99.99% de descuento en productos,1.0,SUC. BOULEVARES (QRO),-22.242,-22.24
48759,26138,MOTO G31 4/128 GRIS,1.0,SUC. CORREGIDORA 3 (QRO),4309.48275862,4309.4800000000005
48770,19870,DOPPIO F1811 X/X NEGRO KIT,1.0,SUC. OBREGON (LEON),318.10344828,318.1
48773,29410,99.99% de descuento en productos,1.0,SUC. LA VICTORIA (QRO),-60.172,-60.17
48775,19882,"ECHO SHOW 5"" ALEXA NEGRA",1.0,SUC. PARQUE (CELAYA),1464.65517241,1464.66
48783,24902,LANIX X750 1/32 NGO,1.0,SUC. PLAZA MAYOR (LEON),1723.27586207,1723.28
48785,24795,HISENSE E50 4/128 VERDE,1.0,SUC. MADERO (QRO),3361.21,3361.21
48786,26572,XIAOMI POCO-X4-PRO 6/128 NEGRO,1.0,SUC. ALLENDE (CELAYA),6206.03448276,6206.03
48788,29411,20.0% de descuento en productos,1.0,SUC. MADERO (QRO),-42.932,-42.93
48789,19110,ADAPTADOR LIGHTNING A 3.5,1.0,SUC. GALERIAS (QRO),111.20689655,111.21
48791,26043,ZTE A31 1/32 GRIS,1.0,SUC. CORREGIDORA 2 (QRO),1723.27586207,1723.28
48794,29410,99.99% de descuento en productos,1.0,SUC. BOULEVARES (QRO),-51.552,-51.55
48795,26002,XIAOMI REDMI-9A 2/32 VERDE,1.0,SUC. CORREGIDORA 3 (QRO),2326.72413793,2326.7200000000003
48803,29411,20.0% de descuento en productos,1.0,SUC. BOULEVARES (QRO),-68.794,-68.79
48805,29411,20.0% de descuento en productos,1.0,SUC. PLAZA PATIO (QRO),-68.794,-68.79
48806,26002,XIAOMI REDMI-9A 2/32 VERDE,-1.0,SUC. CORREGIDORA 3 (QRO),2326.72413793,-2326.7200000000003
